Country,Discipline,Discipline URL,Game URL,Gender,Host City,Medal,Result,Winner,Year
GER,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/pyeongchang-2018/biathlon/mens-10km-sprint,Men,PyeongChang,G,23:38.8,Arnd PEIFFER,2018
CZE,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/pyeongchang-2018/biathlon/mens-10km-sprint,Men,PyeongChang,S,23:43.2,Michal KRCMAR,2018
ITA,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/pyeongchang-2018/biathlon/mens-10km-sprint,Men,PyeongChang,B,23:46.5,Dominik WINDISCH,2018
FRA,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/vancouver-2010/biathlon/10km-men,Men,Vancouver,G,24:07.8,Vincent JAY,2010
NOR,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/vancouver-2010/biathlon/10km-men,Men,Vancouver,S,24:20.0,Emil Hegle SVENDSEN,2010
CRO,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/vancouver-2010/biathlon/10km-men,Men,Vancouver,B,24:21.8,Jakov FAK,2010
NOR,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/salt-lake-city-2002/biathlon/10km-men,Men,Salt Lake City,G,00:24:51.300,Ole Einar BJOERNDALEN,2002
GER,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/salt-lake-city-2002/biathlon/10km-men,Men,Salt Lake City,S,00:25:20.200,Sven FISCHER,2002
AUT,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/salt-lake-city-2002/biathlon/10km-men,Men,Salt Lake City,B,00:25:44.400,Wolfgang PERNER,2002
RUS,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/lillehammer-1994/biathlon/10km-men,Men,Lillehammer,G,0:28:07.0  0,Sergei TCHEPIKOV,1994
GER,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/lillehammer-1994/biathlon/10km-men,Men,Lillehammer,S,0:28:13.0  0,Ricco GROß,1994
RUS,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/lillehammer-1994/biathlon/10km-men,Men,Lillehammer,B,28:27.4,Sergey TARASOV,1994
GDR,10km Sprint,https://www.olympic.org/biathlon/mens-10km-sprint,/calgary-1988/biathlon/10km-men,Men,Calgary,G,25:08.1 (1),Frank-Peter ROETSCH,1988
